thickness,length,x_position_m,y_position_m,z_position_m,x_voxel,y_voxel,z_voxel,theta_angle,phi_angle
1.4770767990627965e-06,3.718344783359698e-06,3.395054290408297e-07,6.961254303623396e-05,9.889563681266709e-05,2,506,98,18.427192406504115,83.10041450105102
1.8042519522752129e-06,3.8499722865229124e-06,0.00010799917205035058,4.1240910331785334e-05,1.0994517400763459e-05,785,299,10,77.56594279608979,55.569983003425946
1.3272414020864063e-06,3.7971690838054754e-06,3.168495457189442e-05,0.0001314438738374964,2.6037200062471152e-05,230,955,26,22.689074962754642,3.873969134145777
1.6158212007219013e-06,3.7922585387088643e-06,9.980598171150332e-05,5.448582246881342e-05,7.341399577423115e-05,725,396,73,51.20061940032998,81.9430416467292
1.658393778012691e-06,3.985236002305902e-06,7.526682633698096e-06,0.00010654998119889526,2.384467572904588e-05,54,774,23,66.99262685423862,6.548068866225234
1.581503994211582e-06,3.5438918408049245e-06,8.420245722389304e-06,5.408799543125813e-05,6.0262427957526947e-05,61,393,60,38.89676263075624,75.63740167290527
1.4209103507684165e-06,3.433902061386354e-06,0.00012353594960225556,1.6015072904272674e-05,7.698671346912423e-05,898,116,76,67.19833776643812,68.40813674397374
1.2084970480712446e-06,3.7682876707163785e-06,3.8789730082280714e-05,4.40210412507542e-05,8.581731553182474e-05,282,320,85,63.51528007081292,20.29294169423915
1.36739282518106e-06,3.83237274660962e-06,0.00010272879649253678,4.032850315845147e-05,5.1241179556925085e-06,747,293,5,60.6009190703589,65.31776547582102
1.0632339295226723e-06,3.0472807034157234e-06,8.2526459220461e-05,2.6119598083328683e-06,5.9102247913742375e-05,600,18,59,49.86718660164603,20.921588856069842
